Date,Water,City,Species,Qty,Size (inch)
10/8/2024,THOMAS P,CASCO,BROOK TROUT,300,12
11/22/2024,THOMAS P,CASCO,BROOK TROUT,15,17
12/4/2024,THOMAS P,CASCO,L.L. SALMON,30,18
4/10/2024,TRICKEY P,NAPLES,SPLAKE,800,10
4/25/2024,TRICKEY P,NAPLES,BROOK TROUT,800,9
5/30/2024,TRICKEY P,NAPLES,L.L. SALMON,100,8
10/8/2024,TRICKEY P,NAPLES,BROOK TROUT,50,12
11/18/2024,TRICKEY P,NAPLES,BROOK TROUT,50,12
5/2/2024,WILLETT B,BRIDGTON,BROWN TROUT,400,9
5/2/2024,WOOD P,BRIDGTON,BROWN TROUT,650,9
11/1/2024,WOOD P,BRIDGTON,BROWN TROUT,325,12
10/28/2024,BARNARD P,EUSTIS,BROOK TROUT,1250,7
10/8/2024,BEAL (TROUT) P,MADRID,BROOK TROUT,1600,6
10/9/2024,BEAVER P,TOWNSHIP D,BROOK TROUT,1900,7
10/9/2024,BEAVER P,TOWNSHIP D,BROOK TROUT,150,12
10/4/2024,BLANCHARD P,ALDER STREAM TWP,BROOK TROUT,350,6
5/24/2024,BOUNDARY P,BEATTIE TWP,BROOK TROUT,700,10
5/6/2024,BUG EYE P,CHAIN OF PONDS TWP,BROOK TROUT,200,10
5/6/2024,CARIBOU BOG,CHAIN OF PONDS TWP,BROOK TROUT,150,10
4/19/2024,CARRABASSETT R,CARRABASSET VALLEY,BROOK TROUT,250,10
4/19/2024,CARRABASSETT R,KINGFIELD,BROOK TROUT,450,10
5/7/2024,CARRABASSETT R,KINGFIELD,BROOK TROUT,200,10
5/21/2024,CARRABASSETT R,KINGFIELD,RAINBOW TROUT,200,11
6/5/2024,CARRABASSETT R,KINGFIELD,RAINBOW TROUT,200,11
10/8/2024,CARRABASSETT R,KINGFIELD,BROOK TROUT,150,12
5/6/2024,CHAIN OF PONDS,CHAIN OF PONDS TWP,BROOK TROUT,1450,10
9/23/2024,CHAIN OF PONDS,CHAIN OF PONDS TWP,BROOK TROUT,600,12
4/23/2024,CLEARWATER P,INDUSTRY,BROOK TROUT,1500,10
10/7/2024,CLEARWATER P,INDUSTRY,BROOK TROUT,1000,12
10/7/2024,CLEARWATER P,INDUSTRY,L.L. SALMON,250,13
10/22/2024,CLEARWATER P,INDUSTRY,BROOK TROUT,250,13
11/15/2024,CLEARWATER P,INDUSTRY,BROOK TROUT,30,19
10/18/2024,CROWELL P,NEW SHARON,BROOK TROUT,1250,12
11/15/2024,CROWELL P,NEW SHARON,BROOK TROUT,25,17
5/6/2024,DEAD R (NORTH BRANCH),ALDER STREAM TWP,BROOK TROUT,750,10
5/22/2024,DEAD R (NORTH BRANCH),ALDER STREAM TWP,BROOK TROUT,750,10
4/29/2024,DEAD R (SOUTH BRANCH),LANG TWP,BROOK TROUT,220,10
4/29/2024,DEAD R (SOUTH BRANCH),DALLAS PLT,BROOK TROUT,440,10
4/29/2024,DEAD R (SOUTH BRANCH),COPLIN PLT,BROOK TROUT,220,10
5/22/2024,DEAD R (SOUTH BRANCH),LANG TWP,BROOK TROUT,200,10
5/22/2024,DEAD R (SOUTH BRANCH),DALLAS PLT,BROOK TROUT,400,10
5/22/2024,DEAD R (SOUTH BRANCH),COPLIN PLT,BROOK TROUT,200,10
10/8/2024,DEAD R (SOUTH BRANCH),DALLAS PLT,BROOK TROUT,400,12
5/14/2024,DODGE P,RANGELEY,BROOK TROUT,750,10
